match_id,ElapsedTime,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint,ServeNumber,WinnerType,WinnerShotType,P1DistanceRun,P2DistanceRun,RallyCount,ServeWidth,ServeDepth,ReturnDepth
2019-wimbledon-1602,00:00:00,1,0,0,0,1,0,1,2,2,189,,0,15,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23000,118,0,0,2,,,,,,,1,0,0,1.822,2.164,1,C,NCTL,
2019-wimbledon-1602,00:00:15,1,0,0,0,1,0,2,1,2,181,,15,15,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,113,0,0,2,,,,,,,1,0,0,41.584,40.526,12,BW,NCTL,ND
2019-wimbledon-1602,00:00:51,1,0,0,0,1,0,3,2,2,170,,15,30,2,7,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23000,106,0,0,2,,,,,,,1,0,0,1.787,1.719,1,W,NCTL,
2019-wimbledon-1602,00:01:09,1,0,0,0,1,0,4,2,2,189,,15,40,1,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11030,118,0,0,2,,,,,,,1,0,0,5.753,4.294,1,W,CTL,D
2019-wimbledon-1602,00:01:26,1,0,0,0,1,0,5,1,2,157,,30,40,2,7,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,98,0,0,2,,,,,,,2,0,0,12.672,11.328,4,BW,NCTL,ND
2019-wimbledon-1602,00:01:59,1,0,1,0,1,2,6,2,2,189,,0,0,1,11,2,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,11032,118,0,0,1,,,,,,,1,0,0,12.819,8.825,3,C,NCTL,ND
2019-wimbledon-1602,00:03:19,1,0,1,0,2,0,7,1,1,152,,15,0,2,9,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,95,0,0,1,,,,,,,2,0,0,1.501,2.149,1,BC,NCTL,
2019-wimbledon-1602,00:04:21,1,0,1,0,2,0,8,1,1,189,,30,0,4,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,118,0,0,1,,,,,,,1,0,0,1.987,2.669,1,B,NCTL,
2019-wimbledon-1602,00:04:43,1,0,1,0,2,0,9,1,1,194,,40,0,8,8,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,13000,121,0,0,1,,,,,,,1,0,0,1.098,1.695,1,C,NCTL,
2019-wimbledon-1602,00:05:04,1,1,1,0,2,1,10,1,1,170,,0,0,11,6,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22022,106,0,0,2,,,,,,,2,0,0,12.537,16.955,5,BC,NCTL,D
2019-wimbledon-1602,00:05:55,1,1,1,0,3,0,11,2,2,167,,0,15,11,9,6,5,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,22410,104,0,0,2,,,,,,,1,0,B,13.546,11.733,3,W,CTL,
2019-wimbledon-1602,00:06:17,1,1,1,0,3,0,12,2,2,162,,0,30,10,11,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11030,101,0,0,2,,,,,,,2,0,0,14.001,16.969,5,C,NCTL,D
2019-wimbledon-1602,00:06:52,1,1,1,0,3,0,13,2,2,168,,0,40,9,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12030,105,0,0,2,,,,,,,1,0,0,5.747,5.022,1,W,CTL,D
2019-wimbledon-1602,00:07:11,1,1,2,0,3,2,14,2,2,191,,0,0,9,19,6,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,23002,119,0,0,1,,,,,,,1,0,0,1.303,1.414,1,C,CTL,
2019-wimbledon-1602,00:09:28,1,1,2,0,4,0,15,1,1,160,,15,0,11,18,7,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,22030,100,0,0,1,,,,,,,2,0,0,7.706,9.699,3,B,NCTL,ND
2019-wimbledon-1602,00:10:13,1,1,2,0,4,0,16,2,1,164,,15,15,10,20,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11030,102,0,0,1,,,,,,,2,0,0,20.494,24.894,6,BW,CTL,ND
2019-wimbledon-1602,00:11:30,1,1,2,0,4,0,17,1,1,160,,30,15,12,19,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,100,0,0,1,,,,,,,2,0,0,1.222,1.639,1,BW,NCTL,
2019-wimbledon-1602,00:12:13,1,1,2,0,4,0,18,1,1,178,,40,15,15,19,9,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11010,111,0,0,1,,,,,,,1,0,F,5.984,6.845,3,BW,NCTL,ND
2019-wimbledon-1602,00:12:38,1,1,2,0,4,0,19,2,1,193,,40,30,13,20,9,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11020,120,0,0,1,,,,,,,1,0,0,5.555,5.369,2,BW,NCTL,D
